label, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y
11, 0.383853, 0.328261, 0.600828, 0.667352, 0.247778, 0.174328, 0.478226, 0.435018, 0.573569, 0.0775703, 0.632778, 0.75262, 0.284035, 0.422131, 0.755629, 0.624975, 0.151179, 0.341961, 0.411403, 0.49899, 0.639506, 0.590071, 0.844829, 0.651785, 
11, 0.361165, 0.295595, 0.606995, 0.664537, 0.259954, 0.154024, 0.439713, 0.405465, 0.596968, 0.0838685, 0.619967, 0.759068, 0.255897, 0.41125, 0.730397, 0.595445, 0.147553, 0.34075, 0.390933, 0.49912, 0.602709, 0.542698, 0.825846, 0.634874, 
11, 0.386661, 0.292703, 0.627956, 0.628138, 0.265498, 0.159112, 0.475739, 0.39092, 0.574584, 0.0779205, 0.700281, 0.729818, 0.289901, 0.375246, 0.765106, 0.585206, 0.152147, 0.310223, 0.420591, 0.436934, 0.649856, 0.540919, 0.842838, 0.615076, 
11, 0.39625, 0.337768, 0.601645, 0.666494, 0.203598, 0.199448, 0.539512, 0.440626, 0.572586, 0.0754125, 0.641914, 0.761396, 0.277027, 0.418355, 0.734786, 0.620869, 0.143181, 0.329978, 0.406314, 0.503722, 0.616223, 0.589807, 0.834572, 0.647011, 
11, 0.413945, 0.241473, 0.6264, 0.616392, 0.357176, 0.137523, 0.471247, 0.346396, 0.61097, 0.0822889, 0.647543, 0.720349, 0.311619, 0.367253, 0.767682, 0.550972, 0.171439, 0.30608, 0.444148, 0.425087, 0.661647, 0.532108, 0.832396, 0.562485, 
11, 0.397611, 0.304877, 0.626631, 0.637131, 0.271838, 0.157904, 0.476263, 0.396786, 0.56591, 0.0775452, 0.716533, 0.746598, 0.27996, 0.3761, 0.745861, 0.586951, 0.140955, 0.31004, 0.418237, 0.441813, 0.611369, 0.529687, 0.8329, 0.624011, 
11, 0.449916, 0.299573, 0.589154, 0.643519, 0.339054, 0.151965, 0.527052, 0.402278, 0.592724, 0.0844823, 0.584543, 0.748449, 0.286132, 0.413201, 0.78132, 0.547602, 0.157804, 0.340703, 0.415223, 0.486131, 0.664432, 0.541083, 0.853828, 0.551646, 
11, 0.44979, 0.291151, 0.586002, 0.654066, 0.385601, 0.145457, 0.494464, 0.392549, 0.611448, 0.0908787, 0.549014, 0.788639, 0.264499, 0.422009, 0.742229, 0.51202, 0.135019, 0.38094, 0.409937, 0.46814, 0.62194, 0.482118, 0.835017, 0.535085, 
11, 0.440014, 0.351376, 0.625251, 0.686174, 0.310964, 0.183278, 0.524644, 0.461612, 0.633123, 0.0833682, 0.61449, 0.788695, 0.278547, 0.449206, 0.773044, 0.597326, 0.149288, 0.376011, 0.422182, 0.530542, 0.655591, 0.546973, 0.848459, 0.629657, 
11, 0.454014, 0.356612, 0.619008, 0.677667, 0.311089, 0.19604, 0.540326, 0.453581, 0.646254, 0.077192, 0.585135, 0.772992, 0.28948, 0.45438, 0.774081, 0.590423, 0.149989, 0.366296, 0.422583, 0.538431, 0.654343, 0.577509, 0.860123, 0.599702, 
11, 0.41299, 0.349001, 0.566607, 0.688879, 0.287009, 0.197261, 0.503305, 0.457782, 0.587071, 0.0736689, 0.540518, 0.792719, 0.279814, 0.468923, 0.744779, 0.607309, 0.150062, 0.401453, 0.405261, 0.534154, 0.631683, 0.568748, 0.829655, 0.636248, 
11, 0.461957, 0.34988, 0.551339, 0.720473, 0.310873, 0.182747, 0.570829, 0.470316, 0.591613, 0.0874101, 0.50653, 0.820839, 0.274976, 0.493856, 0.734442, 0.592445, 0.142685, 0.399095, 0.406388, 0.587987, 0.628747, 0.596898, 0.8333, 0.588279, 
11, 0.450688, 0.263012, 0.613477, 0.619856, 0.335957, 0.128877, 0.529638, 0.355313, 0.635639, 0.0836161, 0.583707, 0.740689, 0.286226, 0.382425, 0.769425, 0.507424, 0.148274, 0.325301, 0.422164, 0.438716, 0.642058, 0.441669, 0.858499, 0.55341, 
11, 0.454534, 0.31551, 0.622878, 0.658587, 0.364158, 0.165135, 0.522165, 0.428038, 0.628911, 0.0823437, 0.615181, 0.767118, 0.293178, 0.41051, 0.775001, 0.567449, 0.159184, 0.375993, 0.433174, 0.446575, 0.670297, 0.561249, 0.855311, 0.572205, 
11, 0.39806, 0.304387, 0.604413, 0.655257, 0.329805, 0.160542, 0.453304, 0.420812, 0.580438, 0.0769142, 0.634492, 0.757133, 0.283954, 0.413378, 0.766369, 0.59158, 0.145585, 0.357439, 0.413731, 0.465844, 0.656222, 0.584588, 0.842582, 0.596418, 
11, 0.404929, 0.341248, 0.582621, 0.673491, 0.273727, 0.173989, 0.493569, 0.454248, 0.570761, 0.0781343, 0.598037, 0.77128, 0.273156, 0.427075, 0.752716, 0.623887, 0.124615, 0.395211, 0.410131, 0.456458, 0.65128, 0.598855, 0.825379, 0.641818, 
11, 0.415852, 0.303217, 0.620855, 0.677191, 0.30552, 0.148358, 0.491756, 0.409755, 0.616727, 0.0974271, 0.625769, 0.768348, 0.291597, 0.406977, 0.75168, 0.595087, 0.152057, 0.356532, 0.426294, 0.455671, 0.63172, 0.551731, 0.843882, 0.628412, 
11, 0.426556, 0.311127, 0.643192, 0.608618, 0.364969, 0.192779, 0.466812, 0.388483, 0.595166, 0.0771749, 0.723402, 0.723428, 0.299855, 0.376275, 0.78708, 0.554368, 0.142229, 0.377146, 0.442175, 0.375489, 0.675622, 0.500529, 0.868644, 0.593766, 
11, 0.42328, 0.261279, 0.61404, 0.60859, 0.316426, 0.131074, 0.496475, 0.350469, 0.589333, 0.0899122, 0.652828, 0.730115, 0.299386, 0.347409, 0.761849, 0.543736, 0.156609, 0.327678, 0.435162, 0.366173, 0.65397, 0.482663, 0.836121, 0.585784, 
12, 0.376535, 0.351035, 0.496923, 0.683493, 0.136514, 0.175392, 0.56219, 0.486894, 0.527041, 0.0649996, 0.453398, 0.784106, 0.182186, 0.464423, 0.689535, 0.625036, 0.0731491, 0.403384, 0.293466, 0.526717, 0.571063, 0.646165, 0.827316, 0.600464, 
12, 0.429097, 0.336477, 0.483784, 0.692076, 0.128073, 0.157638, 0.634025, 0.458226, 0.544083, 0.0726441, 0.418514, 0.774945, 0.1868, 0.479552, 0.711522, 0.601544, 0.0566879, 0.412504, 0.306569, 0.54127, 0.58696, 0.650851, 0.855114, 0.544705, 
12, 0.389846, 0.317826, 0.464423, 0.656241, 0.131757, 0.125216, 0.550829, 0.437967, 0.488481, 0.0729335, 0.434426, 0.749392, 0.198783, 0.440209, 0.709737, 0.590618, 0.0808571, 0.394869, 0.316098, 0.485314, 0.583286, 0.63916, 0.840367, 0.540472, 
12, 0.39288, 0.320726, 0.498547, 0.651447, 0.114307, 0.131217, 0.559471, 0.434055, 0.500384, 0.0706872, 0.496247, 0.754941, 0.192168, 0.411453, 0.695605, 0.582019, 0.0635215, 0.350439, 0.322153, 0.473103, 0.578102, 0.60866, 0.837547, 0.549837, 
12, 0.428045, 0.334085, 0.464995, 0.6423, 0.155595, 0.15697, 0.590512, 0.439701, 0.479987, 0.0625668, 0.444924, 0.745098, 0.193125, 0.429998, 0.685954, 0.572245, 0.0769618, 0.418536, 0.310608, 0.441591, 0.562834, 0.608098, 0.832026, 0.529708, 
12, 0.39811, 0.3529, 0.478032, 0.685594, 0.131563, 0.178397, 0.591508, 0.479514, 0.502797, 0.0697944, 0.44571, 0.778607, 0.187889, 0.467906, 0.712738, 0.62551, 0.0761619, 0.409949, 0.304942, 0.528625, 0.588519, 0.656921, 0.839751, 0.593392, 
12, 0.433883, 0.308834, 0.48802, 0.630515, 0.134994, 0.13439, 0.611094, 0.412263, 0.500006, 0.0635692, 0.473031, 0.734223, 0.215478, 0.418725, 0.710918, 0.549144, 0.0723164, 0.327214, 0.335786, 0.495627, 0.590835, 0.583915, 0.841196, 0.511419, 
12, 0.339289, 0.360396, 0.556869, 0.726492, 0.126253, 0.155656, 0.521892, 0.535888, 0.570805, 0.0645421, 0.538375, 0.818821, 0.206253, 0.480739, 0.738493, 0.700409, 0.0634852, 0.392976, 0.342949, 0.564768, 0.621483, 0.713895, 0.859381, 0.686477, 
