x, y, label
238.058, 205.988, 19, 
406.202, 188.237, 19, 
689.359, 318.704, 19, 
541.944, 201.527, 20, 
460.946, 435.033, 20, 
478.612, 129.198, 20, 
598.993, 266.681, 20, 
513.407, 380.431, 20, 
417.001, 480.771, 20, 
285.654, 347.297, 20, 
715.814, 315.073, 20, 
184.359, 348.19, 20, 
384.375, 346.426, 20, 
603.448, 364.881, 20, 
796.932, 279.117, 20, 
